ParkName,Region,Year,Month,RecreationVisits
Acadia,Northeast ,2019,2,9154
Acadia,Northeast ,2019,3,20161
Acadia,Northeast ,2019,4,68046
Acadia,Northeast ,2019,5,226156
Acadia,Northeast ,2019,6,490720
Acadia,Northeast ,2019,7,756439
Acadia,Northeast ,2019,8,759735
Acadia,Northeast ,2019,9,603273
Acadia,Northeast ,2019,10,436194
Acadia,Northeast ,2019,11,46011
Acadia,Northeast ,2019,12,12865
Acadia,Northeast ,2020,1,12640
Acadia,Northeast ,2020,2,13459
Acadia,Northeast ,2020,3,28539
Acadia,Northeast ,2020,4,55713
Acadia,Northeast ,2020,5,103120
Acadia,Northeast ,2020,6,201156
Acadia,Northeast ,2020,7,493971
Acadia,Northeast ,2020,8,681746
Acadia,Northeast ,2020,9,500320
Acadia,Northeast ,2020,10,480859
Acadia,Northeast ,2020,11,76251
Acadia,Northeast ,2020,12,21260
Acadia,Northeast ,2021,1,20268
Acadia,Northeast ,2021,2,16123
Acadia,Northeast ,2021,3,38060
Acadia,Northeast ,2021,4,110096
Acadia,Northeast ,2021,5,324654
Acadia,Northeast ,2021,6,661919
Acadia,Northeast ,2021,7,782146
Acadia,Northeast ,2021,8,795437
Acadia,Northeast ,2021,9,667301
Acadia,Northeast ,2021,10,557624
Acadia,Northeast ,2021,11,81089
Acadia,Northeast ,2021,12,14381
Acadia,Northeast ,2022,1,10411
Acadia,Northeast ,2022,2,13045
Acadia,Northeast ,2022,3,22476
Acadia,Northeast ,2022,4,105126
Acadia,Northeast ,2022,5,327466
Acadia,Northeast ,2022,6,603023
Acadia,Northeast ,2022,7,791358
Acadia,Northeast ,2022,8,785236
Acadia,Northeast ,2022,9,697292
Acadia,Northeast ,2022,10,521646
Acadia,Northeast ,2022,11,70675
Acadia,Northeast ,2022,12,22506
Arches,Intermountain ,1979,1,2970
Arches,Intermountain ,1979,2,3135
Arches,Intermountain ,1979,3,14659
Arches,Intermountain ,1979,4,31818
Arches,Intermountain ,1979,5,39266
Arches,Intermountain ,1979,6,43503
Arches,Intermountain ,1979,7,36524
Arches,Intermountain ,1979,8,43309
Arches,Intermountain ,1979,9,30813
Arches,Intermountain ,1979,10,15273
Arches,Intermountain ,1979,11,5492
Arches,Intermountain ,1979,12,3078
Arches,Intermountain ,1980,1,3599
Arches,Intermountain ,1980,2,4687
Arches,Intermountain ,1980,3,15915
Arches,Intermountain ,1980,4,27050
Arches,Intermountain ,1980,5,39099
Arches,Intermountain ,1980,6,47171
Arches,Intermountain ,1980,7,43685
Arches,Intermountain ,1980,8,47837
Arches,Intermountain ,1980,9,31387
Arches,Intermountain ,1980,10,16983
Arches,Intermountain ,1980,11,7481
Arches,Intermountain ,1980,12,5625
Arches,Intermountain ,1981,1,7144
Arches,Intermountain ,1981,2,6275
Arches,Intermountain ,1981,3,17024
Arches,Intermountain ,1981,4,30543
Arches,Intermountain ,1981,5,41614
Arches,Intermountain ,1981,6,51670
Arches,Intermountain ,1981,7,48711
Arches,Intermountain ,1981,8,52953
Arches,Intermountain ,1981,9,35795
Arches,Intermountain ,1981,10,20656
Arches,Intermountain ,1981,11,10157
Arches,Intermountain ,1981,12,3966
Arches,Intermountain ,1982,1,5531
Arches,Intermountain ,1982,2,6897
Arches,Intermountain ,1982,3,19703
Arches,Intermountain ,1982,4,29711
Arches,Intermountain ,1982,5,43011
Arches,Intermountain ,1982,6,55267
Arches,Intermountain ,1982,7,53035
Arches,Intermountain ,1982,8,52025
Arches,Intermountain ,1982,9,36934
Arches,Intermountain ,1982,10,18992
Arches,Intermountain ,1982,11,10845
Arches,Intermountain ,1982,12,7464
Arches,Intermountain ,1983,1,4672
Arches,Intermountain ,1983,2,6993
Arches,Intermountain ,1983,3,14734
Arches,Intermountain ,1983,4,20073
Arches,Intermountain ,1983,5,34040
Arches,Intermountain ,1983,6,38975
Arches,Intermountain ,1983,7,50659
Arches,Intermountain ,1983,8,50320
Arches,Intermountain ,1983,9,36578
Arches,Intermountain ,1983,10,20107
Arches,Intermountain ,1983,11,7384
Arches,Intermountain ,1983,12,3340
Arches,Intermountain ,1984,1,4021
Arches,Intermountain ,1984,2,4601
Arches,Intermountain ,1984,3,16732
Arches,Intermountain ,1984,4,30806
Arches,Intermountain ,1984,5,44454
Arches,Intermountain ,1984,6,58744
Arches,Intermountain ,1984,7,55728
Arches,Intermountain ,1984,8,57412
Arches,Intermountain ,1984,9,42668
Arches,Intermountain ,1984,10,18121
Arches,Intermountain ,1984,11,7059
Arches,Intermountain ,1984,12,4834
Arches,Intermountain ,1985,1,4727
Arches,Intermountain ,1985,2,4944
Arches,Intermountain ,1985,3,18033
Arches,Intermountain ,1985,4,36032
Arches,Intermountain ,1985,5,50174
Arches,Intermountain ,1985,6,56588
Arches,Intermountain ,1985,7,54484
Arches,Intermountain ,1985,8,61538
Arches,Intermountain ,1985,9,44554
Arches,Intermountain ,1985,10,21037
Arches,Intermountain ,1985,11,6217
Arches,Intermountain ,1985,12,5136
Arches,Intermountain ,1986,1,7070
Arches,Intermountain ,1986,2,6762
Arches,Intermountain ,1986,3,33700
Arches,Intermountain ,1986,4,36042
Arches,Intermountain ,1986,5,53931
Arches,Intermountain ,1986,6,62158
Arches,Intermountain ,1986,7,63528
Arches,Intermountain ,1986,8,68397
Arches,Intermountain ,1986,9,49456
Arches,Intermountain ,1986,10,23414
Arches,Intermountain ,1986,11,8425
Arches,Intermountain ,1986,12,6561
Arches,Intermountain ,1987,1,6015
Arches,Intermountain ,1987,2,6957
Arches,Intermountain ,1987,3,22167
Arches,Intermountain ,1987,4,43965
Arches,Intermountain ,1987,5,63510
Arches,Intermountain ,1987,6,69019
Arches,Intermountain ,1987,7,71987
Arches,Intermountain ,1987,8,80492
Arches,Intermountain ,1987,9,60969
Arches,Intermountain ,1987,10,28961
Arches,Intermountain ,1987,11,9904
Arches,Intermountain ,1987,12,4970
Arches,Intermountain ,1988,1,4145
Arches,Intermountain ,1988,2,6674
Arches,Intermountain ,1988,3,31382
Arches,Intermountain ,1988,4,45863
Arches,Intermountain ,1988,5,68712
Arches,Intermountain ,1988,6,79183
Arches,Intermountain ,1988,7,77160
Arches,Intermountain ,1988,8,80219
Arches,Intermountain ,1988,9,75694
Arches,Intermountain ,1988,10,34808
Arches,Intermountain ,1988,11,11253
Arches,Intermountain ,1988,12,5362
Arches,Intermountain ,1989,1,4687
Arches,Intermountain ,1989,2,5683
Arches,Intermountain ,1989,3,41135
Arches,Intermountain ,1989,4,51807
Arches,Intermountain ,1989,5,75599
Arches,Intermountain ,1989,6,80321
Arches,Intermountain ,1989,7,78010
Arches,Intermountain ,1989,8,88731
Arches,Intermountain ,1989,9,69361
Arches,Intermountain ,1989,10,37592
Arches,Intermountain ,1989,11,15113
Arches,Intermountain ,1989,12,7770
Arches,Intermountain ,1990,1,6440
Arches,Intermountain ,1990,2,8444
Arches,Intermountain ,1990,3,42372
Arches,Intermountain ,1990,4,71479
Arches,Intermountain ,1990,5,84912
Arches,Intermountain ,1990,6,90154
Arches,Intermountain ,1990,7,84017
Arches,Intermountain ,1990,8,97265
Arches,Intermountain ,1990,9,72310
Arches,Intermountain ,1990,10,40923
Arches,Intermountain ,1990,11,15192
Arches,Intermountain ,1990,12,7211
Arches,Intermountain ,1991,1,6307
Arches,Intermountain ,1991,2,11453
Arches,Intermountain ,1991,3,45466
Arches,Intermountain ,1991,4,60081
Arches,Intermountain ,1991,5,93762
Arches,Intermountain ,1991,6,104120
Arches,Intermountain ,1991,7,103591
Arches,Intermountain ,1991,8,116516
Arches,Intermountain ,1991,9,90407
Arches,Intermountain ,1991,10,51260
Arches,Intermountain ,1991,11,14808
Arches,Intermountain ,1991,12,8111
Arches,Intermountain ,1992,1,8016
Arches,Intermountain ,1992,2,12779
Arches,Intermountain ,1992,3,50228
Arches,Intermountain ,1992,4,82025
Arches,Intermountain ,1992,5,104639
Arches,Intermountain ,1992,6,109882
Arches,Intermountain ,1992,7,119021
Arches,Intermountain ,1992,8,124840
Arches,Intermountain ,1992,9,104561
Arches,Intermountain ,1992,10,58839
Arches,Intermountain ,1992,11,18150
Arches,Intermountain ,1992,12,6851
Arches,Intermountain ,1993,1,6036
Arches,Intermountain ,1993,2,8599
Arches,Intermountain ,1993,3,43551
Arches,Intermountain ,1993,4,74542
Arches,Intermountain ,1993,5,103852
Arches,Intermountain ,1993,6,102396
Arches,Intermountain ,1993,7,116886
Arches,Intermountain ,1993,8,118500
Arches,Intermountain ,1993,9,111614
Arches,Intermountain ,1993,10,60523
Arches,Intermountain ,1993,11,18951
Arches,Intermountain ,1993,12,8228
Arches,Intermountain ,1994,1,9904
Arches,Intermountain ,1994,2,12348
Arches,Intermountain ,1994,3,53504
Arches,Intermountain ,1994,4,74096
Arches,Intermountain ,1994,5,103871
Arches,Intermountain ,1994,6,98464
Arches,Intermountain ,1994,7,109497
Arches,Intermountain ,1994,8,115008
Arches,Intermountain ,1994,9,110027
Arches,Intermountain ,1994,10,61676
Arches,Intermountain ,1994,11,16776
Arches,Intermountain ,1994,12,12007
Arches,Intermountain ,1995,1,11055
Arches,Intermountain ,1995,2,15813
Arches,Intermountain ,1995,3,52952
Arches,Intermountain ,1995,4,76855
Arches,Intermountain ,1995,5,111925
Arches,Intermountain ,1995,6,116972
Arches,Intermountain ,1995,7,136258
Arches,Intermountain ,1995,8,127740
Arches,Intermountain ,1995,9,120634
Arches,Intermountain ,1995,10,66136
Arches,Intermountain ,1995,11,18025
Arches,Intermountain ,1995,12,5009
Arches,Intermountain ,1996,1,8183
